qtext,label,atext
who directed ENT_TOK?,0,set decoration by
who directed ENT_TOK?,0,netflix genres
who directed ENT_TOK?,0,gross revenue
who directed ENT_TOK?,0,metacritic film id
who directed ENT_TOK?,0,cinematography
who directed ENT_TOK?,1,produced by
who directed ENT_TOK?,1,screenplay by
who directed ENT_TOK?,0,production companies
who directed ENT_TOK?,0,genres
who directed ENT_TOK?,0,film series
who directed ENT_TOK?,0,performances
who directed ENT_TOK?,0,trailer addict id
who directed ENT_TOK?,0,tagline
who directed ENT_TOK?,0,edited by
who directed ENT_TOK?,0,estimated budget
who directed ENT_TOK?,0,country of origin
who directed ENT_TOK?,0,primary language
who directed ENT_TOK?,0,casting director
who directed ENT_TOK?,0,other crew
who directed ENT_TOK?,0,runtime
who directed ENT_TOK?,0,executive produced by
who directed ENT_TOK?,0,soundtrack
who directed ENT_TOK?,0,subjects
who directed ENT_TOK?,0,release date ( s )
who directed ENT_TOK?,0,award nominations
who directed ENT_TOK?,0,netflix id
who directed ENT_TOK?,1,directed by
who directed ENT_TOK?,0,initial release date
who directed ENT_TOK?,0,notable filming locations
who directed ENT_TOK?,0,art direction by
who directed ENT_TOK?,0,awards won
who directed ENT_TOK?,0,film format
who directed ENT_TOK?,0,sequel
who directed ENT_TOK?,1,story by
who directed ENT_TOK?,0,distributors
who directed ENT_TOK?,0,prequel
who directed ENT_TOK?,0,languages
who directed ENT_TOK?,0,production design by
who directed ENT_TOK?,0,trailers
who directed ENT_TOK?,0,costume design by
who directed ENT_TOK?,0,music by
who directed ENT_TOK?,0,rated
who directed ENT_TOK?,0,gross revenue # currency
who directed ENT_TOK?,0,gross revenue # amount
who directed ENT_TOK?,0,gross revenue # valid date
who directed ENT_TOK?,0,performances # character note
who directed ENT_TOK?,0,performances # actor
who directed ENT_TOK?,0,performances # character
who directed ENT_TOK?,0,estimated budget # amount
who directed ENT_TOK?,0,estimated budget # currency
who directed ENT_TOK?,0,other crew # crewmember
who directed ENT_TOK?,0,other crew # film crew role
